robot_id,task_type,task_duration,energy_consumption,position_coordinates,robot_speed,sensor_id,sensor_type,sensor_reading,timestamp,data_size,network_load,network_latency,packet_loss_rate,network_type,slice_id,slice_bandwidth,command_delay,feedback_delay,data_transfer_time,total_delay,signal_strength,latency,resource_allocation,error_rate
R001,Pick-and-Place,171.5160181604326,4.733739159464655,"(7.796910002727692, 5.96850157946487, 4.458327528535912)",0.5099724073998032,S8,Temperature,88.03345035229626,2025-01-21 10:00:00,642,70.51461235739507,19.548647782429917,4.162213204002109,6G,Slice2,1755,7.7510676478015075,16.084844859190753,20.495128632644757,51.49076623284759,-61.263125794058745,14.177793420835693,82.09240790978063,0.29214464853521815
R002,Pick-and-Place,123.84979779038503,7.140703845572054,"(1.9967378215835974, 5.142344384136116, 5.924145688620425)",0.4510954539919975,S3,Motion,75.11572371061875,2025-01-21 10:01:00,678,70.33162402899666,19.133026335272792,2.8164410892276965,6G,Slice1,1364,8.463407384332235,14.820509320520234,23.665270376509163,54.99917037027473,-45.00415264791507,7.600469802616582,85.8659091135986,0.18223608778806233
R003,Assembly,119.52182242877426,4.831766651472755,"(5.677003278199915, 0.31313292455558583, 8.422847745949985)",0.8947295467067423,S4,Pressure,91.81815987569263,2025-01-21 10:02:00,1806,72.21231255129798,7.939742936287178,0.22613644455269033,5G,Slice4,1137,13.095381985836196,21.735023313276965,29.30510614528276,72.17068268282934,-61.7200245393237,9.444102585561236,82.47900408594504,0.01563640674119393
R004,Welding,168.11426770153204,4.79486272613669,"(0.05522117123602399, 8.154614284548341, 7.068573438476172)",1.2019078848450861,S1,Motion,72.22133955202271,2025-01-21 10:03:00,742,86.27692563754862,18.724395133156712,4.250192888948996,6G,Slice1,1871,10.562273782973996,23.376825053272146,23.31844713234993,65.21403490713472,-61.75834621029807,13.418651387715517,85.74390312130684,0.9717120953891037
R005,Pick-and-Place,166.50990680636565,6.245108790277985,"(7.70967179954561, 4.937955963643907, 5.227328293819941)",0.8702951201944047,S3,Motion,96.87290787020558,2025-01-21 10:04:00,1776,77.85889952690816,12.628560367470541,4.537832369630465,Wi-Fi,Slice3,1548,13.097616369525097,14.061224494695388,28.85707141115962,64.01023960782278,-49.15645200880886,18.207017585228865,89.3653107220069,0.295633685837714
R006,Welding,182.0044826262805,7.214688307596457,"(1.8657005888603584, 8.925589984899778, 5.393422419156507)",1.2881841706804689,S9,Motion,97.20485324637262,2025-01-21 10:05:00,1920,75.69837906354854,11.406616829393844,4.090073829612465,5G,Slice3,1509,12.661209538663485,18.348220062975578,14.442156209414605,51.050912647722086,-59.87154485789116,19.143645558687787,84.84804398031133,0.5187906217433661
R007,Welding,116.5370639481257,4.259568988435927,"(2.539154139343447, 2.468760628386012, 6.963042728397884)",1.1834976489168865,S5,Temperature,99.93221455146826,2025-01-21 10:06:00,1210,85.23910834949743,12.540185348432923,0.25739375624994676,5G,Slice4,1184,8.593428360004587,12.897897441824462,19.78905520555126,51.208633277933316,-62.73834185465499,15.082033211088179,91.42429422993077,0.23763754399239967
R008,Pick-and-Place,172.43956589318543,5.881202537784153,"(9.83423140894843, 3.9882444244455306, 8.16431873219384)",1.2781796374830063,S9,Motion,75.59555531199562,2025-01-21 10:07:00,1884,91.458970120343,9.889383578028271,1.1012052378277415,6G,Slice3,946,10.22998980937594,11.923531021828415,28.81046528979208,57.95184622643405,-54.4674594841756,17.565651588609917,90.13535175558921,0.7352161192407721
R009,Assembly,189.4571065589988,7.509357413523924,"(2.579416277151556, 6.59984046034179, 8.172222002012159)",1.0107208927594087,S1,Pressure,99.88761099273773,2025-01-21 10:08:00,765,92.43039394883317,18.506270857449955,3.16550728636634,5G,Slice1,1922,15.505367449591569,26.933222844766117,27.126485837561848,76.58761676753049,-43.366897037171206,17.76392673151269,94.03452491331421,0.7853406511139436
R010,Assembly,61.28758722632815,4.405886171464129,"(6.635017691080558, 0.05061583846218687, 1.6080805141749865)",1.0036071683032448,S6,Motion,89.55883778507801,2025-01-21 10:09:00,672,70.45188409038802,12.40840572775152,0.8941135461066441,Wi-Fi,Slice3,1200,9.620911877785838,20.850804611097985,20.1762815367752,58.8296611165885,-62.48614544183248,13.848062713408158,94.68339287412513,0.4867421529594551
R011,Pick-and-Place,120.81521117146002,5.400313630778703,"(6.451033620305648, 6.689240596630997, 8.64167565071903)",0.6532037950657108,S3,Motion,93.05662042918927,2025-01-21 10:10:00,2047,74.42776698517622,19.106878765293715,4.769642885012937,5G,Slice2,898,16.215781608461207,29.061436940479062,16.615006093410273,69.656049476528,-52.83122592487485,19.704973755740685,81.13019384009192,0.30569701928718185
R012,Pick-and-Place,97.58647996462196,5.941119497105262,"(3.726868670940493, 3.9469146680947222, 8.442131407263114)",1.423018518291915,S8,Pressure,88.45021680097508,2025-01-21 10:11:00,1365,78.9661695324041,8.812454736046082,1.4764529420946937,6G,Slice1,1927,15.45523611492902,24.049681679742186,17.189823024395103,63.16270004038878,-45.71916533564459,17.15170092018771,93.00608477870156,0.9132405525564713
R013,Assembly,60.72588078835815,6.511577659794544,"(1.9427395351204224, 0.7094091699992766, 3.967838272138884)",0.45584538414333664,S3,Motion,70.82850315621114,2025-01-21 10:12:00,1889,72.34954849602173,13.67420211494261,0.17971136898371043,5G,Slice2,1374,19.727613324657966,26.778670041387265,27.208092366233505,79.96563253485806,-68.8349579671173,9.548982720098342,88.05623640794983,0.3266512417960409
R014,Welding,98.01600821476387,7.861007321563079,"(4.572651616137286, 8.420230750119813, 1.9438003399487302)",0.8524892955623464,S3,Motion,74.15059277253404,2025-01-21 10:13:00,1167,94.39630198656337,12.74450522451793,1.6147823647062298,5G,Slice4,1630,11.502811063711132,24.88085285998231,15.017210546933224,57.32254284228351,-67.57381100148407,11.424717124101615,90.3274985114805,0.05819359550844361
R015,Assembly,81.90118597395204,5.000971592658381,"(5.4922666470612045, 7.145959227000623, 6.601973767177313)",0.7079272866405372,S7,Motion,83.07018696033673,2025-01-21 10:14:00,1372,80.49000156069475,8.715964842517362,1.779863393256308,5G,Slice2,1496,10.128195000746024,11.835981316268837,11.883139765371203,40.404382629342535,-40.61468414135474,7.629954048340078,80.25741652747625,0.7633644230039109
R016,Welding,126.28604790927919,4.692807479640061,"(4.33851649237973, 3.9850473439737346, 6.158500980522165)",1.0986030159544082,S2,Motion,70.45913620871154,2025-01-21 10:15:00,953,82.52599709788149,13.090661726000938,3.4198188469907054,Wi-Fi,Slice2,1296,18.007984003325056,22.728071948920224,26.018985893647994,75.14088355780818,-52.798988749841996,6.9275052985086525,92.16806265104005,0.8206394757439553
R017,Pick-and-Place,174.85975812797753,6.605939087431151,"(2.066843598767454, 2.7396112732113376, 2.145891197083741)",0.8149849915507734,S3,Pressure,90.4902032024907,2025-01-21 10:16:00,1360,86.39306588451855,10.780949314483475,3.4080683448639486,6G,Slice2,914,9.227821621600999,12.363296552433125,23.934743307283014,53.67057571521656,-43.67583959418841,16.026065657058286,92.05221395577273,0.2820345725713065
R018,Assembly,119.28593192313659,6.274081134999833,"(5.759245752580846, 7.316477552996402, 1.276897294224656)",0.6750180941377152,S8,Motion,97.92271976810694,2025-01-21 10:17:00,548,75.9649214947585,15.197671698503687,3.6995438022368727,Wi-Fi,Slice1,861,12.448417860246165,17.79236172438407,15.952703490186217,51.69340751062577,-68.39544109757894,19.378122453247975,92.70714716143385,0.3549051904627206
R019,Assembly,154.74778661940246,5.930083798570569,"(4.930256577718049, 0.8328441119525964, 0.9170414725848108)",1.0626850184912309,S4,Motion,76.38183685072687,2025-01-21 10:18:00,1686,89.53240126178007,6.70196903026172,4.654645528436463,6G,Slice3,1197,13.242933234856032,18.83061002746754,27.754083655165996,66.58220198024996,-66.48798950717182,7.144875230792538,91.42265947576209,0.6182180633162611
R020,Welding,177.3873069269579,5.7043659001877645,"(2.2257641757103053, 3.9665160195425186, 8.918969087767767)",0.5612653038612281,S5,Pressure,99.59918735503527,2025-01-21 10:19:00,2031,91.5784630497251,18.205399529576255,1.1834259684103938,Wi-Fi,Slice1,1955,10.253273700504703,24.163623911663997,19.633339759282308,60.940175322062274,-48.84746907110021,8.730862316454319,84.95378793528647,0.43445184448827134
R021,Welding,61.58951026743867,5.874642567976505,"(0.5630327568183735, 1.1881791626807192, 1.1752624677710488)",1.11413133232767,S1,Motion,87.5010629529148,2025-01-21 10:20:00,701,80.00557232180063,12.165723363203416,0.4144566084667711,5G,Slice2,1940,19.44833809160917,10.243089493796326,29.39757653415278,64.30480367931116,-43.26570658905787,12.915516636294498,94.8944719417895,0.07379656473539886
R022,Pick-and-Place,157.35755723493065,4.301738188359077,"(1.6621543190925292, 2.168091065864912, 2.9449394683942987)",1.495414512532308,S6,Pressure,81.5260549413766,2025-01-21 10:21:00,982,71.13615950853645,9.214447843883455,4.752057420382794,6G,Slice4,1467,10.034900971954448,13.39359807791131,22.936967233374475,53.30680820318959,-63.118157628851506,8.989068874463584,85.40517642807902,0.2599498628542627
R023,Pick-and-Place,157.74263996276431,6.144385465376482,"(3.0952761628632777, 8.137950197069486, 6.847311725538793)",0.5788786332793805,S3,Temperature,98.2159548140615,2025-01-21 10:22:00,1394,88.142987709709,14.201227939036848,2.0912151814530944,6G,Slice2,1676,7.472513917055014,18.225102331707383,25.55204567470451,58.651512332798674,-40.44141848003487,10.651084549069111,91.24367449964109,0.3929894489788591
R024,Pick-and-Place,177.8966492389992,7.353314818844551,"(4.686931597949703, 4.148195023376652, 2.7340707193070624)",0.46201304631601986,S6,Temperature,86.03038825088389,2025-01-21 10:23:00,1282,83.88579264006569,16.534811227707657,4.72382864941214,6G,Slice3,1968,8.616272484944478,14.100906570130498,15.028848790235969,44.11968683044049,-63.78317052975831,18.173310012187883,91.35498698258343,0.04689646779121992
R025,Pick-and-Place,75.89806290794806,6.686292782371199,"(5.2030770090379335, 7.723183917356393, 5.201635011119934)",1.3373996503503942,S6,Temperature,72.6522467009694,2025-01-21 10:24:00,1274,80.08707165530993,7.01022842675961,0.14391338156669486,Wi-Fi,Slice1,1652,14.590420354613634,26.10089335038724,28.063021173532526,76.84065343901986,-40.58611824722867,14.121317743128278,89.54966482433424,0.5548156085422257
R026,Pick-and-Place,186.58221722912478,5.393021868093202,"(5.139894891598108, 7.8365301274114305, 3.9654278232127016)",1.0842953702506608,S3,Temperature,98.48561870972927,2025-01-21 10:25:00,1411,81.48367019865431,17.631371225280645,3.8445887065769875,5G,Slice2,852,10.211201123381214,14.182615821570284,21.59299868943477,52.694631686668984,-53.8820974985779,11.90178738475358,88.7714915892373,0.40030048891028136
R027,Welding,185.55037738684166,5.895846561051489,"(6.675577385210271, 1.7231987120162984, 1.9228901880867078)",0.4449554778931268,S5,Pressure,78.35771017095875,2025-01-21 10:26:00,1045,72.21756334392639,6.809538066509012,2.303893840163629,6G,Slice2,1345,6.931225974494659,16.60199026620311,16.431655293600578,45.42632446544208,-55.565638178311204,15.316770756441246,87.67485520320892,0.15697768271619372
R028,Welding,60.36330341371052,7.473204428142347,"(0.8451700768068193, 5.972780822554306, 9.862569958668152)",0.9902497105860658,S8,Pressure,77.08349599352213,2025-01-21 10:27:00,539,79.2228409892443,11.938020741997217,3.7373546906687825,6G,Slice3,1682,15.700243788268287,27.904136753743987,20.233548842313322,71.49849681065217,-66.78483965980672,11.71118550235182,87.98925899682534,0.24247050363472966
R029,Welding,163.23672885313468,4.729135513903833,"(5.639650920188364, 8.407099858779311, 0.8920432871205619)",0.988869120417076,S9,Temperature,80.28780592834781,2025-01-21 10:28:00,536,86.97755797861224,16.837568579110076,2.492210994645286,Wi-Fi,Slice4,910,16.052337130923693,21.15484531900875,21.73070869321518,66.76018385576083,-58.63682122146132,10.06170250807877,93.49471095717519,0.6075552222935728
R030,Pick-and-Place,109.85354162569848,7.946060995171919,"(6.057748193568871, 2.372267917359945, 1.0178247262040374)",0.5681450531027652,S7,Pressure,75.59701072153918,2025-01-21 10:29:00,861,74.33433988236887,18.451481369396376,0.40116872830821104,Wi-Fi,Slice3,1863,15.454421935496324,29.945110695367887,27.932205259480416,81.21172997937293,-42.47813160743405,5.0795000959640815,94.62600744417713,0.49074877925878446
R031,Assembly,153.61005078942034,7.717503956510344,"(5.567628930139298, 5.7161268946989985, 2.7997909366028417)",1.2464422265111308,S6,Pressure,79.71037709212732,2025-01-21 10:30:00,1235,82.69025946711137,8.636145986226204,0.5741841236960177,6G,Slice2,1119,6.309352693845131,20.12207912718694,28.640286845138682,61.67492962696832,-52.18350707326304,10.538457222648443,86.8140195832865,0.5486031179381532
R032,Assembly,198.59443253459233,5.289415379898892,"(8.09874445854635, 2.5464065476376385, 6.8150272222392925)",1.2362506458786553,S8,Pressure,82.35522742441806,2025-01-21 10:31:00,1630,93.23822860619565,17.459291116815937,4.825134553332563,6G,Slice1,1175,19.863942146860857,14.100036201064745,17.584571699276008,61.18079716515017,-48.35210347746168,5.721419659461315,91.72271722627123,0.8279408871774919
R033,Welding,88.22782480668423,4.654623771462818,"(1.6426579793099294, 8.14574720231382, 6.651972206962001)",0.9753719672460314,S4,Temperature,96.31601622439325,2025-01-21 10:32:00,600,87.07455158542831,11.779229019485589,3.56891227427663,Wi-Fi,Slice1,1221,13.096715928719496,18.77489350776678,21.549725418122513,60.19814711370077,-58.255536693954944,12.97786219532261,80.99928668586226,0.22902539092479635
